aX,aY,aZ,gX,gY,gZ
0.152,-0.332,-1.497,23.254,5.432,27.039
0.119,-0.321,-1.458,14.282,-5.554,20.752
0.089,-0.313,-1.402,3.54,-13.611,15.503
0.058,-0.308,-1.324,-7.69,-19.775,11.658
0.027,-0.297,-1.237,-17.212,-24.78,8.545
0.001,-0.288,-1.146,-24.292,-28.381,6.47
-0.012,-0.277,-1.061,-28.259,-30.762,5.493
-0.015,-0.274,-0.986,-29.358,-31.067,4.7
-0.019,-0.275,-0.933,-28.442,-28.931,3.479
-0.025,-0.28,-0.894,-26.978,-24.048,2.197
-0.03,-0.287,-0.862,-26.123,-18.188,1.038
-0.036,-0.298,-0.837,-24.292,-13.306,1.038
-0.042,-0.3,-0.824,-22.095,-9.46,1.892
-0.043,-0.294,-0.814,-19.958,-6.042,3.601
-0.036,-0.29,-0.813,-17.029,-2.258,5.249
-0.028,-0.283,-0.819,-13.123,2.441,6.47
-0.017,-0.282,-0.837,-9.583,7.874,7.202
-0.005,-0.279,-0.852,-6.104,13.489,8.301
0.002,-0.285,-0.879,-2.258,17.883,9.277
0.003,-0.286,-0.907,0.671,20.203,9.949
0.002,-0.284,-0.931,2.502,21.729,11.169
0.002,-0.283,-0.951,3.906,21.851,12.146
0.005,-0.277,-0.97,5.615,21.545,12.451
0.008,-0.273,-0.986,6.958,21.362,12.695
0.01,-0.27,-1.005,8.301,21.362,12.512
0.013,-0.269,-1.028,8.789,20.996,12.146
0.015,-0.271,-1.049,8.667,19.775,11.292
0.019,-0.27,-1.06,7.263,18.127,10.315
0.025,-0.273,-1.07,6.348,15.137,9.338
0.025,-0.274,-1.082,5.432,11.353,7.751
0.03,-0.267,-1.085,4.089,7.874,6.226
0.033,-0.26,-1.082,2.319,4.7,4.822
0.032,-0.264,-1.084,0.977,2.808,2.625
0.023,-0.27,-1.087,-0.366,1.77,0.549
0.449,-0.958,-1.301,-33.447,-327.759,219.727
0.555,-0.945,-1.232,-57.983,-353.943,246.155
0.655,-0.914,-1.143,-80.017,-387.024,272.095
0.707,-0.847,-0.953,-101.746,-428.955,299.622
0.758,-0.793,-0.725,-114.38,-487.488,334.229
0.725,-0.708,-0.454,-114.258,-564.392,372.986
0.625,-0.593,-0.1,-101.99,-654.236,415.649
0.524,-0.515,0.276,-69.275,-743.713,463.135
0.473,-0.526,0.576,-9.705,-808.899,507.446
0.48,-0.518,0.709,63.354,-826.538,542.114
0.664,-0.5,0.639,127.747,-783.691,563.049
0.85,-0.493,0.556,152.832,-704.407,560.608
0.942,-0.492,0.553,141.296,-625,538.269
0.882,-0.46,0.589,117.31,-562.012,508.179
0.767,-0.49,0.637,88.501,-512.451,481.323
0.617,-0.506,0.665,54.26,-464.111,460.144
0.511,-0.517,0.695,14.221,-413.696,439.453
0.39,-0.566,0.742,-31.006,-369.934,418.457
0.192,-0.609,0.779,-76.538,-339.722,397.156
-0.023,-0.678,0.824,-119.324,-319.092,378.967
-0.248,-0.746,0.879,-162.354,-299.133,367.92
-0.472,-0.781,0.943,-200.867,-271.729,359.009
-0.675,-0.739,0.97,-226.501,-242.493,351.685
-0.821,-0.653,0.913,-230.652,-222.351,346.863
-0.887,-0.546,0.747,-215.271,-218.445,338.623
-0.972,-0.426,0.402,-186.768,-223.877,317.017
-1.2,-0.232,-0.126,-159.241,-223.694,279.541
-1.545,0.05,-0.68,-151.611,-192.505,240.601
-1.952,0.506,-1.12,-172.974,-116.943,221.558
-2.241,1.082,-1.303,-212.891,-11.963,226.257
-2.365,1.723,-1.276,-223.45,94.727,238.953
-2.312,2.272,-1.186,-197.693,154.419,261.963
-2.054,2.656,-1.091,-141.113,169.312,285.034
-1.696,2.979,-1.032,-69.885,155.701,288.94
-1.212,3.128,-0.989,-16.052,128.357,272.705
-0.677,3.056,-0.979,10.681,110.596,238.342
-0.134,2.803,-0.986,11.597,106.445,178.345
0.293,2.469,-0.996,-5.005,115.906,97.717
0.515,2.153,-0.992,-27.283,133.545,-1.038
0.481,1.946,-0.973,-42.969,153.32,-112.915
0.186,1.83,-0.917,-50.171,172.241,-221.558
-0.199,1.786,-0.804,-54.565,189.27,-309.814
-0.539,1.736,-0.65,-60.059,204.834,-372.498
-0.823,1.743,-0.49,-68.359,218.75,-413.025
-1.036,1.756,-0.388,-75.867,231.445,-435.974
-1.08,1.688,-0.327,-86.487,234.253,-437.683
-1.043,1.564,-0.31,-97.107,217.834,-424.866
-0.946,1.43,-0.306,-111.572,182.434,-408.325
-0.872,1.323,-0.309,-131.531,144.165,-390.015
-0.701,1.239,-0.285,-160.034,120.972,-369.202
-0.447,1.174,-0.222,-194.092,118.958,-350.037
-0.337,1.161,-0.142,-227.661,129.761,-343.628
-0.105,1.109,0.004,-247.986,156.25,-352.234
-0.126,1.142,0.135,-268.005,182.068,-351.868
-0.012,1.008,0.298,-282.776,204.041,-327.637
0.068,0.916,0.384,-270.447,214.661,-307.129
0.155,0.811,0.369,-237.915,212.402,-281.921
0.286,0.681,0.269,-199.768,201.294,-257.446
0.371,0.61,0.132,-167.236,186.951,-240.845
0.44,0.592,0.028,-149.109,178.101,-228.821
0.523,0.546,-0.028,-143.616,171.997,-218.811
0.591,0.494,-0.065,-141.479,168.152,-213.257
0.665,0.465,-0.087,-137.756,167.969,-212.524
0.726,0.393,-0.115,-132.507,169.8,-214.111
0.801,0.297,-0.106,-130.249,173.889,-217.651
0.863,0.223,-0.093,-126.099,179.382,-222.778
0.877,0.177,-0.085,-116.943,182.068,-232.056
0.888,0.16,-0.112,-102.417,180.847,-243.652
0.877,0.147,-0.172,-85.815,183.289,-255.798
0.87,0.135,-0.256,-73.425,196.777,-272.949
0.849,0.108,-0.325,-66.833,216.858,-292.969
0.814,0.078,-0.359,-67.383,236.206,-313.049
0.783,-0.011,-0.367,-72.632,248.962,-329.285
0.724,-0.109,-0.378,-77.393,257.202,-339.294
0.624,-0.19,-0.379,-78.247,259.094,-342.224
0.554,-0.299,-0.384,-74.036,251.587,-336.182
0.503,-0.37,-0.391,-63.66,238.708,-323.547
0.449,-0.405,-0.396,-44.861,226.562,-309.265
0.423,-0.418,-0.425,-21.79,215.454,-292.419
0.415,-0.445,-0.502,2.991,206.055,-273.804
0.42,-0.457,-0.606,23.071,200.684,-256.714
0.409,-0.47,-0.713,33.325,199.219,-242.31
0.408,-0.499,-0.786,32.532,201.965,-229.919
0.39,-0.548,-0.836,25.574,203.674,-219.36
0.364,-0.576,-0.868,16.907,200.806,-210.083
0.331,-0.593,-0.89,9.766,192.261,-201.599
0.309,-0.594,-0.89,6.104,177.063,-193.359
0.274,-0.621,-0.908,5.676,156.86,-187.561
0.231,-0.65,-0.938,8.667,135.498,-181.396
0.203,-0.661,-0.971,12.146,117.737,-171.692
0.17,-0.669,-1.015,14.221,104.492,-157.959
0.154,-0.679,-1.053,12.512,96.436,-141.541
0.137,-0.666,-1.084,9.094,95.032,-124.512
0.123,-0.638,-1.111,5.249,97.29,-108.643
0.127,-0.597,-1.118,2.136,100.403,-95.276
0.118,-0.569,-1.137,-0.061,101.746,-86.182
0.099,-0.542,-1.159,-0.427,98.938,-81.482
0.071,-0.529,-1.185,0.061,91.797,-79.102
0.041,-0.526,-1.212,0.244,81.177,-76.843
0.01,-0.52,-1.23,-1.16,68.97,-73.792
-0.014,-0.528,-1.236,-4.395,56.274,-68.176
-0.025,-0.518,-1.226,-8.911,44.922,-59.326
-0.02,-0.502,-1.197,-13.794,35.583,-49.133
-0.001,-0.474,-1.157,-17.639,28.503,-38.086
0.026,-0.44,-1.116,-17.944,23.743,-28.625
0.059,-0.421,-1.087,-15.747,20.813,-22.4
0.088,-0.417,-1.064,-12.207,19.287,-19.226
0.114,-0.413,-1.045,-9.705,16.052,-17.578
0.132,-0.404,-1.029,-7.751,12.329,-16.724
0.141,-0.398,-1.014,-7.385,8.057,-15.686
0.144,-0.395,-0.995,-8.667,3.418,-14.099
0.139,-0.391,-0.975,-9.094,-1.282,-12.207
0.127,-0.384,-0.955,-9.583,-5.493,-9.46
0.11,-0.37,-0.939,-9.888,-8.24,-7.08
0.088,-0.365,-0.922,-10.193,-8.728,-5.249
0.065,-0.346,-0.897,-9.277,-7.08,-3.113
0.05,-0.33,-0.885,-5.798,-5.066,-1.831
0.03,-0.33,-0.895,-1.709,-2.747,-1.953
0.009,-0.329,-0.911,2.014,0.488,-2.197
-1.391,1.186,-0.342,-29.846,-136.597,371.46
-1.399,1.376,-0.497,-27.466,-125,341.919
-1.417,1.578,-0.59,-38.452,-111.206,304.321
-1.43,1.761,-0.632,-60.852,-88.074,264.832
-1.407,1.955,-0.566,-89.905,-55.359,222.534
-1.406,2.181,-0.462,-121.582,-21.667,174.927
-1.238,2.339,-0.292,-146.484,10.559,126.953
-0.937,2.386,-0.14,-161.255,37.048,87.219
-0.595,2.286,-0.029,-158.081,55.481,48.462
-0.317,2.135,0.021,-139.771,60.669,1.953
-0.168,1.949,-0.023,-103.088,59.814,-47.607
-0.193,1.792,-0.119,-61.707,59.082,-99.426
-0.356,1.676,-0.209,-28.442,64.575,-146.729
-0.562,1.591,-0.26,-6.287,76.782,-188.232
-0.764,1.524,-0.256,2.014,91.797,-223.267
-0.932,1.474,-0.211,1.16,103.516,-247.681
-1.047,1.403,-0.151,-1.343,109.009,-258.728
-1.096,1.29,-0.09,-3.479,102.234,-255.981
-1.066,1.178,-0.033,0,82.642,-240.234
-0.977,1.084,0.002,9.399,54.321,-217.041
-0.842,1.012,-0.009,21.484,26.001,-191.711
-0.67,0.996,-0.035,31.128,5.493,-172.18
-0.475,1.003,-0.062,32.471,-4.211,-164.917
-0.318,1.03,-0.044,22.766,-1.038,-173.34
-0.257,1.049,0,4.333,15.686,-196.411
-0.267,1.053,0.072,-17.029,42.786,-223.511
-0.324,1.033,0.154,-36.743,69.885,-243.774
-0.352,1.002,0.249,-51.941,86.304,-249.268
-0.293,0.962,0.313,-57.495,84.778,-240.295
-0.161,0.922,0.346,-57.495,74.707,-226.624
0.028,0.916,0.338,-59.265,70.618,-218.201
0.187,0.929,0.337,-67.871,79.346,-223.511
0.302,0.926,0.331,-81.421,102.417,-240.784
0.364,0.897,0.319,-96.741,132.629,-264.771
0.401,0.859,0.299,-114.014,162.903,-288.574
