aX,aY,aZ,gX,gY,gZ
-0.271,-0.168,-0.75,-339.111,65.979,80.872
-0.257,-0.124,-0.611,-362.244,82.092,93.14
-0.195,-0.05,-0.477,-377.686,98.877,108.887
-0.108,-0.026,-0.37,-386.475,115.601,123.352
-0.012,-0.017,-0.296,-393.005,128.845,134.46
0.071,0,-0.244,-403.442,136.658,140.991
0.161,0.002,-0.129,-419.8,136.292,143.188
0.263,0.034,0.157,-438.782,128.113,141.541
0.318,0.082,0.505,-444.885,111.328,136.658
0.312,0.041,0.741,-424.316,87.646,124.268
0.315,-0.041,0.768,-391.418,65.063,107.544
0.317,-0.11,0.72,-368.347,45.654,90.027
0.279,-0.123,0.655,-361.877,34.485,73.303
0.198,-0.091,0.63,-370.239,31.128,61.401
0.127,-0.037,0.675,-389.648,36.438,59.998
0.082,0.038,0.76,-412.048,56.152,65.002
0.054,0.123,0.927,-428.65,84.351,70.984
0.092,0.227,1.369,-434.692,107.239,80.322
0.172,0.252,1.818,-404.968,123.718,90.149
0.257,0.073,2.021,-331.36,130.981,86.914
0.372,-0.12,1.977,-253.906,115.295,72.876
0.419,-0.204,1.821,-201.416,70.801,52.429
0.331,-0.213,1.672,-178.955,2.38,31.006
0.259,-0.269,1.647,-186.523,-74.524,23.865
0.181,-0.28,1.711,-206.177,-128.967,24.231
0.055,-0.224,1.777,-215.637,-143.066,16.846
-0.073,-0.164,1.814,-210.449,-121.948,10.132
-0.121,-0.148,1.816,-195.801,-78.125,11.536
-0.1,-0.165,1.845,-177.612,-28.32,18.127
-0.042,-0.179,1.918,-154.297,10.925,23.376
0.022,-0.205,1.918,-119.141,31.738,22.766
0.068,-0.253,1.84,-80.566,28.137,14.099
0.067,-0.271,1.729,-50.293,0.977,1.343
0.001,-0.267,1.61,-30.09,-38.818,-11.047
-0.085,-0.258,1.507,-20.081,-76.904,-16.602
-0.154,-0.245,1.428,-15.869,-101.44,-16.418
-0.204,-0.232,1.348,-12.024,-106.14,-14.465
-0.23,-0.221,1.258,-6.348,-92.59,-10.742
-0.232,-0.207,1.171,-0.549,-69.519,-6.165
-0.209,-0.207,1.095,4.7,-45.837,-3.662
-0.177,-0.213,1.032,8.972,-27.405,-2.625
-0.152,-0.217,0.979,12.512,-16.968,-1.892
-0.133,-0.233,0.928,16.174,-13.916,-2.93
-0.119,-0.247,0.885,18.677,-14.832,-4.883
-0.12,-0.257,0.848,18.372,-17.151,-6.714
-0.131,-0.264,0.816,16.418,-20.264,-6.958
-0.149,-0.264,0.807,11.475,-23.01,-6.104
-0.168,-0.267,0.817,6.409,-23.804,-4.639
-0.188,-0.266,0.837,2.441,-20.081,-3.113
-0.195,-0.264,0.851,0.366,-12.634,-1.343
-0.194,-0.268,0.868,-0.061,-4.028,0.427
-0.179,-0.275,0.894,0.183,3.174,2.014
-0.159,-0.279,0.914,1.526,7.812,2.563
-0.147,-0.29,0.925,3.601,8.24,1.831
-0.138,-0.286,0.928,4.517,6.47,0.916
-0.132,-0.291,0.924,4.578,3.662,0.305
-0.134,-0.299,0.918,4.578,-0.122,-0.305
-0.144,-0.293,0.906,4.15,-4.089,-1.16
-0.158,-0.291,0.896,3.845,-6.775,-2.014
-0.167,-0.285,0.892,3.113,-7.324,-2.625
-0.177,-0.281,0.895,2.563,-5.676,-2.502
-0.177,-0.277,0.9,1.953,-2.136,-2.258
-0.175,-0.276,0.905,1.831,1.587,-1.892
-0.173,-0.27,0.906,1.648,4.089,-1.465
-0.169,-0.266,0.909,1.099,5.249,-0.916
-0.162,-0.267,0.915,0.732,4.944,-0.427
-0.158,-0.267,0.919,0.122,4.272,-0.122
-0.161,-0.265,0.924,0.244,3.54,-0.305
-0.163,-0.27,0.922,1.221,3.235,-1.038
-0.164,-0.274,0.912,2.686,2.38,-1.465
-0.169,-0.279,0.898,3.418,1.526,-1.831
-0.178,-0.278,0.892,3.418,-0.854,-1.953
-0.186,-0.277,0.891,2.808,-2.197,-1.77
-0.192,-0.278,0.888,2.747,-1.709,-0.977
-0.196,-0.278,0.883,2.197,-0.183,0.244
-0.193,-0.276,0.881,1.587,1.038,0.61
-0.19,-0.276,0.888,0.793,2.441,0.916
-0.362,0.404,-2.576,435.059,-123.108,-75.439
-0.379,0.425,-3.003,397.644,-94.116,-71.289
-0.306,0.263,-3.247,333.557,-101.685,-61.035
-0.262,0.112,-3.295,255.981,-121.094,-52.673
-0.253,0.054,-3.193,173.523,-122.681,-46.326
-0.237,-0.035,-2.985,100.586,-105.408,-34.058
-0.181,-0.198,-2.721,39.673,-71.106,-11.658
-0.083,-0.347,-2.408,-12.146,-25.696,14.587
0.038,-0.466,-2.032,-58.716,20.386,39.246
0.174,-0.559,-1.672,-95.398,57.739,57.617
0.258,-0.655,-1.342,-120.056,82.703,66.833
0.291,-0.735,-1.049,-133.24,96.069,64.27
0.297,-0.798,-0.8,-138.184,104.126,50.476
0.267,-0.817,-0.635,-136.658,105.103,36.865
0.225,-0.811,-0.611,-128.967,98.083,27.527
0.163,-0.817,-0.698,-120.605,79.651,15.991
0.076,-0.813,-0.802,-119.873,51.758,0.671
-0.046,-0.762,-0.874,-128.967,22.522,-13.977
-0.177,-0.688,-0.895,-143.677,-0.732,-24.841
-0.304,-0.618,-0.884,-157.471,-11.78,-29.297
-0.383,-0.562,-0.849,-169.006,-9.583,-26.855
-0.426,-0.552,-0.796,-176.453,3.418,-20.142
-0.432,-0.538,-0.737,-179.687,21.484,-12.329
-0.408,-0.541,-0.679,-180.054,38.33,-5.615
-0.358,-0.546,-0.618,-178.65,51.086,-1.465
-0.306,-0.544,-0.542,-176.331,59.082,-0.671
-0.272,-0.511,-0.506,-170.654,63.599,-4.639
-0.298,-0.501,-0.532,-164.612,64.087,-9.949
-0.333,-0.472,-0.567,-167.053,59.631,-9.827
-0.377,-0.438,-0.593,-180.42,54.138,-4.089
-0.393,-0.439,-0.553,-202.637,48.706,6.958
-0.373,-0.401,-0.462,-228.882,48.889,20.264
-0.335,-0.373,-0.329,-249.573,57.068,30.09
-0.288,-0.341,-0.173,-261.475,69.885,37.476
-0.213,-0.341,0.01,-264.893,81.909,43.274
-0.119,-0.357,0.173,-260.62,88.623,46.387
-0.041,-0.359,0.289,-252.625,89.294,42.969
-0.041,-0.353,0.333,-245.056,82.947,34.424
-0.048,-0.391,0.356,-244.995,70.74,30.212
-0.063,-0.424,0.392,-256.409,58.167,33.508
-0.082,-0.429,0.441,-275.696,53.528,38.391
-0.052,-0.386,0.472,-293.579,59.57,42.542
-0.11,-0.408,0.55,-302.124,63.232,47.058
-0.07,-0.378,0.677,-316.284,65.369,50.659
